# Date	Open	High	Low	Close	Volume	MA200	MA50	EMA26	EMA13	FastMACD	SlowMACD	MACDHistogram	ImpulseIndex	CloseSlope	CloseMin14	CloseMax14	FastStochasticK	FastStochasticD	SlowStochasticK	SlowStochasticD
2013-05-08	29.650000	29.990000	29.540001	24.089502	1009800	19.1982	21.7305	22.4447	22.9387	0.551361	0.376836	0.174525	1	0.186426	21.693451	24.089502	100	100	100	100
2013-05-09	29.650000	29.680000	29.200001	23.749071	1693600	19.2502	21.7738	22.5413	23.0545	0.570592	0.415587	0.155005	0	-0.340431	22.182360	24.089502	82.1497	95.0769	95.0769	98.3365
2013-05-10	29.889999	29.910000	29.520000	24.178661	1831000	19.3056	21.8353	22.6626	23.2151	0.613425	0.455155	0.15827	1	0.42959	22.182360	24.178661	100	94.5959	94.5959	96.6392
2013-05-13	29.330000	29.590000	29.090000	23.919289	1005800	19.3615	21.9002	22.7557	23.3157	0.619303	0.487985	0.131319	0	-0.259372	22.347961	24.178661	85.8321	89.5398	89.5398	93.2414
2013-05-14	29.530001	29.770000	29.480000	23.992239	1065900	19.4174	21.9714	22.8473	23.4123	0.62267	0.514922	0.107748	0	0.07295	22.355848	24.178661	89.7728	92.1096	92.1096	92.162
2013-05-15	29.629999	29.990000	29.629999	24.300245	928700	19.4733	22.0388	22.9549	23.5392	0.642782	0.540494	0.102289	0	0.308006	22.411045	24.300245	100	91.9571	91.9571	91.1891
2013-05-16	29.780001	29.940001	29.549999	24.048975	1077000	19.5231	22.1014	23.0359	23.612	0.63117	0.558629	0.0725412	0	-0.25127	22.452194	24.300245	86.4035	92.1279	92.1279	92.0652
2013-05-17	29.770000	30.260000	29.770000	24.527199	2481400	19.5784	22.1658	23.1464	23.7427	0.653029	0.577509	0.0755196	1	0.478224	22.452194	24.527199	100	95.6769	95.6769	93.2914
2013-05-20	30.160000	30.389999	30.020000	24.454248	1478200	19.6335	22.2223	23.2433	23.8444	0.656893	0.593386	0.063507	0	-0.072951	22.452194	24.527199	96.4843	94.5946	94.5946	94.1672
2013-05-21	29.660000	29.799999	29.459999	24.040869	1857400	19.6871	22.2696	23.3024	23.8725	0.619458	0.5986	0.0208579	0	-0.413379	22.889891	24.527199	70.297	90.3361	90.3361	93.5516
2013-05-22	29.610001	29.900000	29.180000	23.749071	1859900	19.7422	22.3091	23.3354	23.8548	0.559792	0.590839	-0.0310464	-1	-0.291798	23.149265	24.527199	43.5294	73.726	73.726	86.8395
2013-05-23	29.290001	29.309999	28.910000	23.651806	1885600	19.7926	22.3489	23.3589	23.8258	0.498907	0.572452	-0.0735452	-1	-0.097265	23.327587	24.527199	27.027	49.2307	49.2307	73.2545
2013-05-24	29.049999	29.270000	28.910000	23.724754	1253700	19.8423	22.3788	23.386	23.8114	0.451339	0.54823	-0.0968909	-1	0.072948	23.651806	24.527199	8.33317	28.8732	28.8732	53.4942
2013-05-28	29.379999	29.430000	29.059999	23.668016	1709600	19.891	22.4042	23.4069	23.7909	0.404401	0.519464	-0.115063	-1	-0.056738	23.651806	24.527199	1.85174	14.0109	14.0109	32.8244
2013-05-29	28.920000	29.139999	28.780001	23.554541	1711000	19.9394	22.4399	23.4178	23.7571	0.353965	0.486364	-0.132399	-1	-0.113475	23.554541	24.527199	0	3.27372	3.27372	16.4298
2013-05-30	29.670000	29.990000	29.530001	24.121925	1570100	19.9909	22.4951	23.47	23.8093	0.355677	0.460227	-0.104549	1	0.567384	23.554541	24.527199	58.3334	20.6896	20.6896	12.7862
2013-05-31	29.690001	29.959999	29.370001	23.862549	2081600	20.0409	22.5437	23.499	23.8169	0.332275	0.434636	-0.102362	1	-0.259376	23.554541	24.527199	31.6666	30	30	18.295
2013-06-03	29.100000	29.600000	29.059999	23.976025	1380600	20.0908	22.6038	23.5344	23.8396	0.319205	0.41155	-0.092345	1	0.113476	23.554541	24.527199	43.3332	44.4444	44.4444	31.8352
2013-06-04	29.780001	29.920000	29.370001	23.959814	751100	20.1418	22.6544	23.5659	23.8568	0.304034	0.390047	-0.0860126	1	-0.016211	23.554541	24.527199	41.6665	38.8888	38.8888	37.7777
2013-06-05	29.299999	29.410000	28.870001	23.489697	922100	20.1906	22.7078	23.5602	23.8043	0.251182	0.362274	-0.111092	-1	-0.470117	23.489697	24.527199	0	27.7173	27.7173	36.9485
2013-06-06	28.520000	28.750000	28.100000	23.189795	2189200	20.236	22.7521	23.5328	23.7165	0.182986	0.326416	-0.14343	-1	-0.299902	23.189795	24.527199	0	12.1065	12.1065	25.5915
2013-06-07	28.840000	29.299999	28.680000	23.659910	896800	20.2823	22.8061	23.5422	23.7085	0.164974	0.294128	-0.129154	0	0.470115	23.189795	24.454248	37.1793	12.9175	12.9175	17.0731
2013-06-10	29.170000	29.180000	28.660000	23.514011	774300	20.3286	22.8631	23.5401	23.6807	0.137343	0.262771	-0.125428	0	-0.145899	23.189795	24.121925	34.7823	22.4769	22.4769	15.8705
2013-06-11	28.650000	28.910000	28.559999	23.295166	1208600	20.3714	22.9165	23.522	23.6256	0.0966715	0.229551	-0.132879	-1	-0.218845	23.189795	24.121925	11.3043	28.7563	28.7563	21.0069
2013-06-12	28.480000	28.549999	28.120001	22.906101	900800	20.4107	22.9533	23.4764	23.5228	0.0326684	0.190174	-0.157506	-1	-0.389065	22.906101	24.121925	0	13.9472	13.9472	21.7968
2013-06-13	28.360001	28.879999	28.309999	23.392431	1425600	20.4519	23.0048	23.4701	23.5042	0.0209468	0.156329	-0.135382	0	0.48633	22.906101	24.121925	40	17.5904	17.5904	20.0676
2013-06-14	28.690001	28.820000	28.230000	22.930416	958500	20.4908	23.0548	23.4302	23.4222	-0.0253314	0.119997	-0.145328	-1	-0.462015	22.906101	24.121925	1.99988	14	14	15.1807
2013-06-17	28.690001	28.809999	28.330000	23.133055	584200	20.5314	23.1005	23.4082	23.3809	-0.0451356	0.0869704	-0.132106	0	0.202639	22.906101	24.121925	18.6667	20.2222	20.2222	17.2623
